pid,pref,prefkana,prefshort,prefshortkana,pref_en,pref3code,url,lgcode,ISO3155-2
1,北海道,ほっかいどう,北海道,ほっかいどう,Hokkaido,HKD,https://www.pref.hokkaido.lg.jp/,010006,JP-01
2,青森県,あおもりけん,青森,あおもり,Aomori,AOM,https://www.pref.aomori.lg.jp/,020001,JP-02
3,岩手県,いわてけん,岩手,いわて,Iwate,IWT,https://www.pref.iwate.jp/,030007,JP-03
4,宮城県,みやぎけん,宮城,みやぎ,Miyagi,MYG,https://www.pref.miyagi.jp/,040002,JP-04
5,秋田県,あきたけん,秋田,あきた,Akita,AKT,https://www.pref.akita.lg.jp/,050008,JP-05
6,山形県,やまがたけん,山形,やまがた,Yamagata,YGT,https://www.pref.yamagata.jp/,060003,JP-06
7,福島県,ふくしまけん,福島,ふくしま,Fukushima,FKS,https://www.pref.fukushima.lg.jp/,070009,JP-07
8,茨城県,いばらきけん,茨城,いばらき,Ibaraki,IBR,https://www.pref.ibaraki.jp/,080004,JP-08
9,栃木県,とちぎけん,栃木,とちぎ,Tochigi,TCG,https://www.pref.tochigi.lg.jp/,090000,JP-09
10,群馬県,ぐんまけん,群馬,ぐんま,Gunma,GNM,https://www.pref.gunma.jp/,100005,JP-10
11,埼玉県,さいたまけん,埼玉,さいたま,Saitama,SIT,https://www.pref.saitama.lg.jp/,110001,JP-11
12,千葉県,ちばけん,千葉,ちば,Chiba,CBA,https://www.pref.chiba.lg.jp/,120006,JP-12
13,東京都,とうきょうと,東京,とうきょう,Tokyo,TKY,https://www.metro.tokyo.lg.jp/,130001,JP-13
14,神奈川県,かながわけん,神奈川,かながわ,Kanagawa,KNG,https://www.pref.kanagawa.jp/,140007,JP-14
15,新潟県,にいがたけん,新潟,にいがた,Niigata,NIG,https://www.pref.niigata.lg.jp/,150002,JP-15
16,富山県,とやまけん,富山,とやま,Toyama,TYM,https://www.pref.toyama.jp/,160008,JP-16
17,石川県,いしかわけん,石川,いしかわ,Ishikawa,ISK,https://www.pref.ishikawa.lg.jp/,170003,JP-17
18,福井県,ふくいけん,福井,ふくい,Fukui,FKI,https://www.pref.fukui.lg.jp/,180009,JP-18
19,山梨県,やまなしけん,山梨,やまなし,Yamanashi,YMN,https://www.pref.yamanashi.jp/,190004,JP-19
20,長野県,ながのけん,長野,ながの,Nagano,NGN,https://www.pref.nagano.lg.jp/,200000,JP-20
21,岐阜県,ぎふけん,岐阜,ぎふ,Gifu,GIF,https://www.pref.gifu.lg.jp/,210005,JP-21
22,静岡県,しずおかけん,静岡,しずおか,Shizuoka,SZO,https://www.pref.shizuoka.jp/,220001,JP-22
23,愛知県,あいちけん,愛知,あいち,Aichi,AIC,https://www.pref.aichi.jp/,230006,JP-23
24,三重県,みえけん,三重,みえ,Mie,MIE,https://www.pref.mie.lg.jp/,240001,JP-24
25,滋賀県,しがけん,滋賀,しが,Shiga,SGA,https://www.pref.shiga.lg.jp/,250007,JP-25
26,京都府,きょうとふ,京都,きょうと,Kyoto,KYT,https://www.pref.kyoto.jp/,260002,JP-26
27,大阪府,おおさかふ,大阪,おおさか,Osaka,OSK,https://www.pref.osaka.lg.jp/,270008,JP-27
28,兵庫県,ひょうごけん,兵庫,ひょうご,Hyogo,HYG,https://web.pref.hyogo.lg.jp/,280003,JP-28
29,奈良県,ならけん,奈良,なら,Nara,NRA,https://www.pref.nara.jp/,290009,JP-29
30,和歌山県,わかやまけん,和歌山,わかやま,Wakayama,WKY,https://www.pref.wakayama.lg.jp/,300004,JP-30
31,鳥取県,とっとりけん,鳥取,とっとり,Tottori,TTR,https://www.pref.tottori.lg.jp/,310000,JP-31
32,島根県,しまねけん,島根,しまね,Shimane,SMN,https://www.pref.shimane.lg.jp/,320005,JP-32
33,岡山県,おかやまけん,岡山,おかやま,Okayama,OKY,https://www.pref.okayama.jp/,330001,JP-33
34,広島県,ひろしまけん,広島,ひろしま,Hiroshima,HRS,https://www.pref.hiroshima.lg.jp/,340006,JP-34
35,山口県,やまぐちけん,山口,やまぐち,Yamaguchi,YGC,https://www.pref.yamaguchi.lg.jp/,350001,JP-35
36,徳島県,とくしまけん,徳島,とくしま,Tokushima,TKS,https://www.pref.tokushima.lg.jp/,360007,JP-36
37,香川県,かがわけん,香川,かがわ,Kagawa,KGW,https://www.pref.kagawa.lg.jp/,370002,JP-37
38,愛媛県,えひめけん,愛媛,えひめ,Ehime,EHM,https://www.pref.ehime.jp/,380008,JP-38
39,高知県,こうちけん,高知,こうち,Kochi,KOC,https://www.pref.kochi.lg.jp/,390003,JP-39
40,福岡県,ふくおかけん,福岡,ふくおか,Fukuoka,FKO,https://www.pref.fukuoka.lg.jp/,400009,JP-40
41,佐賀県,さがけん,佐賀,さが,Saga,SAG,https://www.pref.saga.lg.jp/,410004,JP-41
42,長崎県,ながさきけん,長崎,ながさき,Nagasaki,NGS,https://www.pref.nagasaki.lg.jp/,420000,JP-42
43,熊本県,くまもとけん,熊本,くまもと,Kumamoto,KMM,https://www.pref.kumamoto.jp/,430005,JP-43
44,大分県,おおいたけん,大分,おおいた,Oita,OIT,https://www.pref.oita.jp/,440001,JP-44
45,宮崎県,みやざきけん,宮崎,みやざき,Miyazaki,MYZ,https://www.pref.miyazaki.lg.jp/,450006,JP-45
46,鹿児島県,かごしまけん,鹿児島,かごしま,Kagoshima,KGS,https://www.pref.kagoshima.jp/,460001,JP-46
47,沖縄県,おきなわけん,沖縄,おきなわ,Okinawa,OKN,https://www.pref.okinawa.lg.jp/,470007,JP-47
