pid,pref,url
1,北海道,http://www.pref.hokkaido.lg.jp/
2,青森県,http://www.pref.aomori.lg.jp/
3,岩手県,http://www.pref.iwate.jp/
4,宮城県,http://www.pref.miyagi.jp/
5,秋田県,http://www.pref.akita.lg.jp/
6,山形県,http://www.pref.yamagata.jp/
7,福島県,http://www.pref.fukushima.lg.jp/
8,茨城県,http://www.pref.ibaraki.jp/
9,栃木県,http://www.pref.tochigi.lg.jp/
10,群馬県,http://www.pref.gunma.jp/
11,埼玉県,http://www.pref.saitama.lg.jp/
12,千葉県,http://www.pref.chiba.lg.jp/
13,東京都,http://www.metro.tokyo.jp/
14,神奈川県,http://www.pref.kanagawa.jp/
15,新潟県,http://www.pref.niigata.lg.jp/
16,富山県,http://www.pref.toyama.jp/
17,石川県,http://www.pref.ishikawa.lg.jp/
18,福井県,http://www.pref.fukui.lg.jp/
19,山梨県,http://www.pref.yamanashi.jp/
20,長野県,http://www.pref.nagano.lg.jp/
21,岐阜県,http://www.pref.gifu.lg.jp/
22,静岡県,http://www.pref.shizuoka.jp/
23,愛知県,http://www.pref.aichi.jp/
24,三重県,http://www.pref.mie.lg.jp/
25,滋賀県,http://www.pref.shiga.lg.jp/
26,京都府,http://www.pref.kyoto.jp/
27,大阪府,http://www.pref.osaka.lg.jp/
28,兵庫県,http://web.pref.hyogo.lg.jp/
29,奈良県,http://www.pref.nara.jp/
30,和歌山県,http://www.pref.wakayama.lg.jp/
31,鳥取県,http://www.pref.tottori.lg.jp/
32,島根県,http://www.pref.shimane.lg.jp/
33,岡山県,http://www.pref.okayama.lg.jp/
34,広島県,http://www.pref.hiroshima.lg.jp/
35,山口県,http://www.pref.yamaguchi.lg.jp/
36,徳島県,https://www.pref.tokushima.lg.jp/
37,香川県,http://www.pref.kagawa.lg.jp/
38,愛媛県,http://www.pref.ehime.jp/
39,高知県,http://www.pref.kochi.lg.jp/
40,福岡県,http://www.pref.fukuoka.lg.jp/
41,佐賀県,http://www.pref.saga.lg.jp/
42,長崎県,http://www.pref.nagasaki.lg.jp/
43,熊本県,http://www.pref.kumamoto.jp/
44,大分県,http://www.pref.oita.jp/
45,宮崎県,http://www.pref.miyazaki.lg.jp/
46,鹿児島県,http://www.pref.kagoshima.jp/
47,沖縄県,http://www.pref.okinawa.lg.jp/
